word,frequency
happy,1338
birthday,450
to,450
i,438
you,412
the,356
and,305
a,283
so,235
for,208
of,188
my,183
im,181
be,165
is,161
me,135
it,130
in,123
that,117
day,114
have,105
your,105
are,105
this,102
with,101
all,91
we,84
but,81
love,76
like,69
just,68
if,68
was,66
its,60
on,59
not,58
our,58
hope,52
monday,51
make,50
one,46
can,46
am,46
u,46
he,45
really,43
what,43
at,43
will,42
when,41
always,40
as,40
great,39
makes,39
how,38
people,38
do,38
best,38
they,36
good,36
out,35
more,34
time,34
from,34
know,34
life,33
never,32
see,32
dont,32
bday,32
much,31
wish,31
up,30
first,30
too,29
her,29
very,29
or,29
no,29
thank,29
new,28
about,28
being,28
were,28
want,28
would,27
today,27
now,27
anniversary,27
back,27
some,26
an,25
had,25
everyone,25
him,25
get,24
us,24
don't,24
youre,24
them,23
many,22
made,22
think,22
because,21
man,21
here,21
-,21
been,21
feel,20
has,20
year,20
there,19
stay,19
beautiful,19
got,19
also,19
help,19
week,18
go,18
who,18
thanks,18
only,18
most,18
need,18
why,18
guys,17
healthy,17
kobe,17
could,17
she,16
going,16
4th,16
@bts_twt,16
still,16
even,16
care,16
baby,16
getting,15
nice,15
__,15
3,15
you're,15
look,15
let,14
big,14
well,14
matheus,14
little,14
world,14
yall,14
someone,14
wanna,14
god,14
ill,14
his,14
school,13
keep,13
enjoy,13
friends,13
having,13
years,13
ever,13
safe,13
dowoon,13
hard,13
thing,12
say,12
days,12
congrats,12
home,12
dream,12
proud,12
by,12
both,12
&lt,12
live,12
s,12
thats,11
before,11
try,11
drum,11
which,11
after,11
things,11
way,11
amazing,11
happy_dowoon_day,11
heart,11
again,11
shit,11
